# Populated places used to name carpool stops. GENERATED FILE — do not edit.
# Regenerate with scripts/generate-places.mjs (see that file for the source data).
#
# Source: GeoNames (https://www.geonames.org/), licensed CC BY 4.0.
# Norway: every populated place. Sweden: those within 150 km of Norway.
#
# One place per line: name|latitude|longitude
Rottenvik, Lyngen|69.5913|20.2772
Čuollonjárga, Storfjord|69.3975|20.1357
Rakeskjer, Alta|70.25|23.2667
Rafsbotn, Alta|70.0187|23.5374
Reahpen, Nesseby|70.0938|28.6647
Potka, Nordreisa|69.6638|21.3089
Buolbmát, Tana|70.0708|28.0072
Polleidet, Lyngen|69.4934|20.1951
Paddeby, Vadsø|70.0995|29.4367
Øvre Alta, Alta|69.9254|23.2643
Oldervik, Lebesby|70.5232|26.9992
Leaibenjárga, Tana|70.118|28.1564
Oldernes, Hammerfest|70.4457|24.3347
Leaibevuotna, Porsanger|70.4738|25.0713
Olderfjord, Kvænangen|70.1747|21.4824
Olderdalen, Kåfjord|69.6041|20.5327
Oksfjordhamn, Nordreisa|69.9082|21.3277
Øksfjordbotn, Loppa|70.1088|22.5277
Øksfjord, Loppa|70.2394|22.3507
Oksevik, Lyngen|69.5316|20.2186
Gárgu, Alta|70.2261|23.3805
Nyhamn, Vadsø|70.153|30.3473
Nyelva, Skjervøy|70.0667|20.85
Nyborg, Nesseby|70.1776|28.6122
Nuvsvåg, Loppa|70.2695|22.116
Nuorttit Sieiddá, Tana|70.2313|28.1787
Nordvågen, Nordkapp|70.9805|26.0321
Nordstraumen, Kvænangen|69.8393|21.8927
Nord-Rekvika, Skjervøy|70.2281|20.6425
Nordmannvik, Kåfjord|69.6786|20.502
Nordmannset, Nordkapp|71.007|25.9627
Ytre Nordmannset, Porsanger|70.5896|25.2438
Nordlenangen, Lyngen|69.9|20.15
Nordkjosbotn, Nordreisa|69.8|21.05
Nikkeby, Skjervøy|70.0713|20.8324
Náivuotna, Hammerfest|70.4391|23.7858
Unjárga, Nesseby|70.152|28.8648
Nervei, Gamvik|70.6659|27.8497
Neiden, Sør-Varanger|69.6959|29.3771
Myrland, Alta|70.05|22.2833
Munkefjord, Sør-Varanger|69.6505|29.4872
Mortensnes, Nesseby|70.1305|29.0093
Mobakken, Alta|70.1167|23.4
Mierojávri, Kautokeino|69.1166|23.2452
Mettevoll, Nordreisa|69.8833|21.4333
Meskelv, Nesseby|70.1769|28.6776
Melsvik, Alta|70.0149|23.0307
Mella, Alta|70.0167|23.5333
Meiland, Kvænangen|70.0072|21.2774
Mehamn, Gamvik|71.0414|27.8513
Mefjord, Hammerfest|70.8112|23.4289
Maursund, Skjervøy|69.9265|20.8592
Måsøy|71.0077|25.004
Masi, Kautokeino|69.4438|23.6672
Mårøy, Lebesby|70.7921|27.2082
Manndalen, Kåfjord|69.6|20.55
Makkaur, Båtsfjord|70.7072|30.0312
Mafjord, Måsøy|71.0627|23.9948
Lyngseidet, Lyngen|69.5763|20.2189
Lyngsdalen, Lyngen|69.4483|20.093
Loppa|70.3338|21.4507
Lille Salttjern, Vadsø|70.0704|30.0013
Lille-Molvik, Tana|70.5988|28.4752
Lillefjord, Måsøy|70.6979|24.6534
Lille Lerresfjord, Alta|70.3246|23.5134
Leirpollskogen, Tana|70.4397|28.5034
Lebesby|70.5728|27.0019
Lavvonjárga, Tana|70.5102|28.4674
Låvan, Kvænangen|70.0231|21.9906
Løkvollen, Kåfjord|69.5418|20.5461
Lauksletta, Skjervøy|70.1381|20.7642
Indre Laukeng, Alta|70.3136|23.4907
Langstrand, Hammerfest|70.6878|23.1791
Langnes, Skjervøy|70.0806|20.8029
Langnes, Kåfjord|69.5244|20.6917
Goalsevuohppi, Gamvik|70.7188|28.0818
Langfjordhamn, Loppa|70.1392|21.8609
Langvasseid, Sør-Varanger|69.5873|29.9452
Langfjorden, Skjervøy|70.0614|20.5585
Langenes, Alta|70.1|23
Langbunes, Vardø|70.2564|30.6889
Lakselv, Porsanger|70.0513|24.9718
Laholmen, Nordkapp|70.8943|25.5816
Lággu, Gamvik|70.6237|27.6298
Austre Lafjord, Nordkapp|70.8673|25.4946
Kvitnes, Karlsøy|70.1|20.1
Kviteberg, Lyngen|69.5918|20.3024
Kviby, Alta|70.115|23.3815
Kvesmenes, Storfjord|69.2845|19.9582
Kvalvik, Lyngen|69.5043|20.2075
Kvalsund, Hammerfest|70.5027|23.9797
Kvenvik, Alta|69.9271|23.1049
Kvænangsbotn, Kvænangen|69.7303|22.0772
Kroken, Kåfjord|69.5661|20.5949
Kramvik, Vardø|70.2665|30.859
Krampenes, Vadsø|70.1053|30.195
Gohppi, Lyngen|69.6791|20.2641
Kongsfjord, Berlevåg|70.7205|29.3191
Komagvær, Vardø|70.2458|30.5331
Kolvik, Porsanger|70.2936|25.1138
Goavkejohka, Hammerfest|70.6132|24.6527
Klubbvika, Nesseby|70.1311|29.1099
Klubbeneshamn, Nordreisa|69.9011|21.2159
Klubbukt, Hammerfest|70.5357|24.1119
Klubben, Vadsø|70.12|29.2337
Klauvnes, Skjervøy|69.9167|20.7333
Kjøllefjord, Lebesby|70.9457|27.3465
Kjelvik, Nordkapp|71.0017|26.1134
Kjækan, Kvænangen|69.7791|22.0836
Kistrand, Porsanger|70.4374|25.1975
Kirkenes, Sør-Varanger|69.7271|30.0458
Kifjord, Lebesby|70.9142|27.3936
Kiby, Vadsø|70.0625|29.8567
Kentán, Karasjok|69.4448|25.2089
Kautokeino|69.0125|23.0412
Karpbukt, Sør-Varanger|69.6653|30.3806
Karlebotn, Nesseby|70.1226|28.5751
Kårhamn, Hammerfest|70.5445|23.1483
Kárášjohka, Karasjok|69.4719|25.5112
Kamøyvær, Nordkapp|71.0487|25.9054
Kakelv, Hammerfest|70.4843|24.1903
Kåfjordelva, Kåfjord|69.4667|20.9167
Kåfjorddalen, Kåfjord|69.4613|20.9362
Kåfjord, Alta|69.939|23.0286
Jonjok, Båtsfjord|70.5227|30.0549
Jekthamna, Skjervøy|69.9731|20.6654
Jakobsnes, Sør-Varanger|69.7286|30.1247
Vestre Jakobselv, Vadsø|70.1129|29.3357
Ivervær, Loppa|70.35|21.8
Ivarsfjord, Gamvik|70.8125|27.9594
Indre Vieluft, Alta|70.2833|23.5333
